_id,Water System No,Water System Name,Principal County Served,Federal Water System Type -CODE,Federal Water System Type,State Water System Type -CODE,State Water System Type,Water System Status -CODE,Water System Status,Owner Type -CODE,Owner Type,Primary Water Source Type -CODE,Primary Water Source Type,Residential Population,Non Transient Population,Transient Population,Total Population,Number of Service Connections Agricultural,Number of COMBINED Service Connections (CB),Number of Commercial (CM) Service Connections,Numer of Institutional Service Conections,Number of Residential Service Connections,Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class-CODE,Treatment Plant Class,Distribution System Class-CODE,Distribution System Class
93,CA1000001,ALDER SPRINGS,FRESNO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,73,73,,22,,,,22,N1   ,Transient-Noncommunity Water System,7/21/2015,AUBERRY,,#N/A,D1   ,Distribution Operator Level 1
94,CA4300516,ALDERCROFT HEIGHTS COUNTY WATER DISTRICT,SANTA CLARA,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,338,,,338,,,,,116,116,SC   ,Small Community,4/19/2016,LOS GATOS,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
95,CA1200501,ALDERPOINT COUNTY WATER,HUMBOLDT,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,219,,,219,,79,,,,79,SC   ,Small Community,5/21/2018,ALDERPOINT,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
96,CA4200731,ALEGRIA MWC,SANTA BARBARA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,54,,,54,,15,,,,15,     ,#N/A,5/27/2015,GAVIOTA,,#N/A,,#N/A
97,CA4900646,ALEXANDER VALLEY ACRES WATER COMPANY,SONOMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,28,,,28,,16,,,,16,SC   ,Small Community,10/6/2017,HEALDSBURG,,#N/A,D1   ,Distribution Operator Level 1
98,CA4901337,ALEXANDER VALLEY RV PARK & CAMPGROUND,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,281,281,,85,,,,85,N1   ,Transient-Noncommunity Water System,11/21/2014,HEALDSBURG,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
99,CA4900107,ALEXANDER VALLEY STORE & BAR,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,10/23/2014,HEALDSBURG,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
100,CA4900704,ALEXANDER VALLEY UNION SCHOOL DISTRICT,SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,200,,200,,5,,,,5,SP   ,NonTransient-NonCommunity Water System,5/7/2013,HEALDSBURG,,#N/A,D1   ,Distribution Operator Level 1
101,CA5700768,ALFOREX SEEDS LLC,YOLO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,28,,28,,4,,,,4,     ,#N/A,3/30/2017,,,#N/A,,#N/A
102,CA3303014,ALHATTI CHRISTIAN MOUNTAIN RES,RIVERSIDE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,40,40,,25,,,,25,N1   ,Transient-Noncommunity Water System,8/5/2015,ALANDALE,,#N/A,NR   ,Not Required
103,CA5403144,ALI MUTUAL WATER CO,TULARE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,25,,,25,,13,,,,13,SC   ,Small Community,2/27/2018,TULARE,,#N/A,D1   ,Distribution Operator Level 1
104,CA4400757,ALIANZA CHARTER (PREV. SALSIPUEDES),SANTA CRUZ,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,790,,790,,1,,,,1,,#N/A,1/22/2017,WATSONVILLE,,#N/A,D1   ,Distribution Operator Level 1
105,CA1000199,ALICE MANOR,FRESNO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,46,,,46,,,1,,,1,SC   ,Small Community,3/17/2017,FOWLER,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
106,CA0900219,ALL OUTDOORS ADVENTURE TRIPS,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,4,,,,4,N1   ,Transient-Noncommunity Water System,4/26/2013,LOTUS,,#N/A,NR   ,Not Required
107,CA2702255,ALL SAINTS CAMPGROUND WS,MONTEREY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,2,,,,2,N1   ,Transient-Noncommunity Water System,10/28/2016,BIG SUR,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
108,CA0707800,ALL STAR ACADEMY OF DANVILLE,CONTRA COSTA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,30,30,,2,,,,2,N1   ,Transient-Noncommunity Water System,5/7/2018,PLEASANTON,,#N/A,,#N/A
109,CA4400692,ALLAN LANE WATER ASSOCIATION,SANTA CRUZ,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,54,,,54,,16,,,,16,SC   ,Small Community,4/4/2013,CORRALITOS,,#N/A,D1   ,Distribution Operator Level 1
110,CA0300021,ALLAN ROAD HOMEOWNERS,AMADOR,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,,,24,24,,12,,,,12,,#N/A,10/30/1995,VOLCANO,,#N/A,NR   ,Not Required
111,CA4600012,ALLEGHANY COUNTY W.D.,SIERRA,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,80,,,80,,55,,,,55,DAVCS,Disadvantaged Small Community Water System,1/29/2015,ALLEGHANY,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
112,CA1500483,ALLEN ROAD MUTUAL WATER SYSTEM,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,195,,,195,,,,,59,59,SC   ,Small Community,4/2/2015,BAKERSFIELD,,#N/A,D1   ,Distribution Operator Level 1
113,CA5400544,ALLENSWORTH CSD,TULARE,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,521,,,521,,156,,,,156,SC   ,Small Community,1/26/2018,ALLENSWORTH,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
114,CA3600005,ALLIANCE PIPELINE ASSOCIATION,SAN BERNARDINO,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,10,,,10,,14,,,,14,XS   ,State Small Water System,6/7/2017,BIG BEAR LAKE,,#N/A,,#N/A
115,CA4900943,ALLIANCE REDWOODS CONFERENCE GROUNDS,SONOMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,46,,,46,,73,,,,73,SC   ,Small Community,11/16/2012,OCCIDENTAL,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
116,CA1300668,ALLIED WASTE OF IMPERIAL VALLEY,IMPERIAL,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,,45,,45,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,12/21/2017,IMPERIAL,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
117,CA4301014,ALMA LATTER-DAY SAINTS CHURCH,SANTA CLARA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,40,40,,1,,,,1,N1   ,Transient-Noncommunity Water System,12/28/2017,LOS GATOS,,#N/A,,#N/A
118,CA2000641,ALMADEN - MADERA,MADERA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,,60,,60,,3,,,,3,,#N/A,6/3/2016,MADERA,,#N/A,D1   ,Distribution Operator Level 1
119,CA3200135,ALMANOR COMMUNITY WELL MWC,PLUMAS,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,33,33,,33,,,,33,N1   ,Transient-Noncommunity Water System,9/8/2006,ALMANOR,,#N/A,,#N/A
120,CA3200139,ALMANOR HEIGHTS MWC,PLUMAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,37,,,,37,N1   ,Transient-Noncommunity Water System,4/29/2016,"LAKE ALMANOR,",,#N/A,NR   ,Not Required
121,CA3200167,ALMANOR LAKE ESTATES MWC,PLUMAS,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,18,18,,9,,,,9,DD   ,Dead and Done (not active),,EAST LAKE ALMANOR,,#N/A,,#N/A
122,CA4000631,ALMIRA WATER ASSOCIATION,SAN LUIS OBISPO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,40,,,40,,15,,,,15,SC   ,Small Community,6/26/2017,PASO ROBLES,,#N/A,D1   ,Distribution Operator Level 1
123,CA0400040,ALMOND GROVE MOBILE PARK,BUTTE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,250,,,250,,163,,,,163,,#N/A,3/7/2017,CHICO,,#N/A,D1   ,Distribution Operator Level 1
124,CA3900517,ALMOND PARK WATER SYSTEM,SAN JOAQUIN,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,60,,,60,,20,,,,20,SC   ,Small Community,2/26/2015,STOCKTON,,#N/A,D1   ,Distribution Operator Level 1
125,CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,TULARE,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,1026,,,1026,,391,,,,391,DAVCS,Disadvantaged Small Community Water System,10/13/2015,ALPAUGH,,#N/A,D2   ,Distribution Operator Level 2
126,CA0900582,ALPENROSE INN,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,40,40,,2,,,,2,N1   ,Transient-Noncommunity Water System,6/12/2017,SOUTH LAKE TAHOE,,#N/A,NR   ,Not Required
127,CA2801012,ALPHA OMEGA WINERY,NAPA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,25,,25,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,5/12/2017,ST. HELENA,,#N/A,NR   ,Not Required
128,CA5500041,ALPINE ACRES MUTUAL WATER CO,TUOLUMNE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,59,,,59,,55,,,,55,SC   ,Small Community,11/20/2015,SONORA,,#N/A,D1   ,Distribution Operator Level 1
129,CA3705071,ALPINE AMERICAN LEGION,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,3,,,,3,N1   ,Transient-Noncommunity Water System,11/25/2015,,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
130,CA3600602,ALPINE CAMP AND CONFERENCE CENTER,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,12,,415,427,,1,,,,1,N1   ,Transient-Noncommunity Water System,10/27/2017,TWIN PEAKS,,#N/A,,#N/A
131,CA0900576,ALPINE INN & SPA,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,5,,,,5,N1   ,Transient-Noncommunity Water System,6/9/2017,SOUTH LAKE TAHOE,,#N/A,NR   ,Not Required
132,CA3100041,ALPINE MEADOWS PROPERTY OWNERS ASSO,PLACER,C,Community,C   ,Community,A,ACTIVE,P,Private,SW ,Surface Water,250,,,250,,129,,,,129,SC   ,Small Community,10/20/2016,COLFAX,T3   ,Treatment Operator Level 3,D1   ,Distribution Operator Level 1
133,CA3901080,ALPINE MEATS INC,SAN JOAQUIN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,270,,270,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,6/13/2017,STOCKTON,,#N/A,D1   ,Distribution Operator Level 1
134,CA1400501,ALPINE MUTUAL WATER COMPANY,INYO,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,18,18,,6,,,,6,XS   ,State Small Water System,,BISHOP,,#N/A,NR   ,Not Required
135,CA3701988,ALPINE OAKS ESTATES LLC,SAN DIEGO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,125,,,125,,68,,,,68,SC   ,Small Community,4/16/2014,ALPINE,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
136,CA3110029,ALPINE SPRINGS COUNTY WATER DISTRICT,PLACER,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,200,,,200,,642,,,,642,SC   ,Small Community,8/9/2011,ALPINE MEADOWS,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
137,CA1900942,ALPINE SPRINGS MOBILE HOME PARK,LOS ANGELES,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,175,,,175,,52,,,,52,SC   ,Small Community,12/13/2016,PALMDALE,,#N/A,D1   ,Distribution Operator Level 1
138,CA5301006,ALPINE VIEW CAMPGROUND,TRINITY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,215,215,,15,,,,15,N1   ,Transient-Noncommunity Water System,6/18/2013,REDDING,,#N/A,NR   ,Not Required
139,CA3301491,ALPINE VILLAGE,RIVERSIDE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,198,,,198,,60,,,,60,SC   ,Small Community,6/5/2018,PINYON PINES,,#N/A,D1   ,Distribution Operator Level 1
140,CA5400708,ALPINE VILLAGE WATER CO.,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,236,236,,52,,,,52,N1   ,Transient-Noncommunity Water System,10/16/2017,SPRINGVILLE,,#N/A,NR   ,Not Required
141,CA3600335,ALPINE WATER SYSTEM,SAN BERNARDINO,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,14,,,14,,8,,,,8,,#N/A,4/24/2018,MT BALDY,,#N/A,,#N/A
142,CA3610002,ALPINE WATER USERS ASSOCIATION,SAN BERNARDINO,C,Community,C   ,Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,2534,,,2534,,,20,,917,937,SC   ,Small Community,9/25/2014,TWIN PEAKS,T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
143,CA1000180,ALTA ELEMENTARY SCHOOL,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,390,,390,,1,,1,,2,SP   ,NonTransient-NonCommunity Water System,8/10/2016,REEDLEY,,#N/A,D1   ,Distribution Operator Level 1
144,CA4200718,ALTA PROPERTIES WATER SYSTEM,SANTA BARBARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,200,,200,,4,,,,4,SP   ,NonTransient-NonCommunity Water System,10/21/2016,GOLETA,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
145,CA1500209,ALTA SIERRA MUTUAL WATER CO.,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,18,12,50,80,,0,1,,223,224,SC   ,Small Community,5/16/2017,WOFFORD HEIGHTS,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
146,CA1503662,ALTA WIND PROJECT O&M FACILITY WATER SYS,KERN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,28,,28,,0,1,0,0,1,SP   ,NonTransient-NonCommunity Water System,4/22/2016,,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
147,CA2700856,ALTMAN PLANTS WS #01,MONTEREY,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,45,,45,,5,,,,5,SP   ,NonTransient-NonCommunity Water System,11/7/2016,SALINAS,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
148,CA2702616,ALTMAN PLANTS WS #02,MONTEREY,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,25,,25,,3,,,,3,SP   ,NonTransient-NonCommunity Water System,12/23/2014,SALINAS,,#N/A,D1   ,Distribution Operator Level 1
149,CA2000598,ALVIEW SCHOOL,MADERA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,200,,200,,1,,,,1,,#N/A,1/27/2016,CHOWCHILLA,,#N/A,D1   ,Distribution Operator Level 1
150,CA1000181,ALVINA SCHOOL,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,240,,240,,8,,,,8,SP   ,NonTransient-NonCommunity Water System,4/27/2017,CARUTHERS,,#N/A,D1   ,Distribution Operator Level 1
151,CA0300095,AMADOR FLOWER FARM,AMADOR,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,5,,,,5,,#N/A,,,,#N/A,,#N/A
152,CA0300028,AMADOR HARVEST INN,AMADOR,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,83,83,,4,,,,4,N1   ,Transient-Noncommunity Water System,6/27/2017,PLYMOUTH,,#N/A,NR   ,Not Required
153,CA0300073,AMADOR WATER AGENCY--TIGER CREEK POWERHO,AMADOR,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,,35,,35,,9,,,,9,     ,#N/A,11/2/2016,PIONEER,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
154,CA1910002,AMARILLO MUTUAL WATER COMPANY,LOS ANGELES,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,3134,,,3134,,,,,627,627,SC   ,Small Community,4/18/2018,ROSEMEAD,TD   ,Treatment or distribution operator of any grade,D2   ,Distribution Operator Level 2
155,CA4500200,AMBERWOOD MOBILE HOME PARK,SHASTA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,84,,,84,,38,,,,38,SC   ,Small Community,7/14/2017,COTTONWOOD,,#N/A,D1   ,Distribution Operator Level 1
156,CA2810005,"AMERICAN CANYON, CITY OF",NAPA,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,20315,,,20315,,5317,,,,5317,C1   ,Large Water System,12/12/2016,AMERICAN CANYON,T4   ,Treatment Operator Level 4,D3   ,Distribution Operator Level 3
157,CA0900578,AMERICAN CONSERVATION EXPERIENCE,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,45,45,,1,,,,1,N1   ,Transient-Noncommunity Water System,6/17/2014,SOUTH LAKE TAHOE,,#N/A,NR   ,Not Required
158,CA2702679,AMERICAN LEGION #593 WS,MONTEREY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,2,,,,2,N1   ,Transient-Noncommunity Water System,3/28/2016,SALINAS,,#N/A,NR   ,Not Required
159,CA0500090,AMERICAN LEGION POST #376,CALAVERAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,120,120,,1,,,,1,N1   ,Transient-Noncommunity Water System,2/23/2015,GLENCOE,,#N/A,NR   ,Not Required
160,CA3600510,AMERICAN LEGION POST 751,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,9/13/2017,NEWBERRY SPRINGS,,#N/A,,#N/A
161,CA0900629,AMERICAN LEGION TRACT RESORT ASSOC,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,5,,60,65,,34,,,,34,N1   ,Transient-Noncommunity Water System,6/30/2014,SOUTH LAKE TAHOE,,#N/A,NR   ,Not Required
162,CA3400278,AMERICAN RIVER COLLEGE,SACRAMENTO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,2000,,2000,,32,,,,32,SC   ,Small Community,3/23/2015,SACRAMENTO,,#N/A,,#N/A
163,CA1000204,AMERICAN UNION SCHOOL,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,250,,250,,33,,,,33,SP   ,NonTransient-NonCommunity Water System,11/6/2013,FRESNO,,#N/A,D1   ,Distribution Operator Level 1
164,CA4210700,"AMERICAN WATER O&M, LLC - VAFB",SANTA BARBARA,C,Community,C   ,Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,14971,,,14971,,1161,,,,1161,C1   ,Large Water System,4/27/2016,VANDENBERG AFB,T2   ,Treatment Operator Level 2,D4   ,Distribution Operator Level 4
165,CA5700504,AMERICAS BEST VALUE INN,YOLO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,200,200,,95,,,,95,N1   ,Transient-Noncommunity Water System,5/19/2014,DUNNIGAN,,#N/A,NR   ,Not Required
166,CA3901181,AMERON INTERNATIONAL,SAN JOAQUIN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,100,,100,,3,,,,3,SP   ,NonTransient-NonCommunity Water System,12/5/2013,TRACY,,#N/A,D1   ,Distribution Operator Level 1
167,CA3301990,AMEZCUA - GARCIA WATER,RIVERSIDE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,316,,,316,,113,,,,113,SC   ,Small Community,1/12/2016,THERMAL,,#N/A,D1   ,Distribution Operator Level 1
168,CA4901334,AMISTA VINEYARDS,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,2,,,,2,N1   ,Transient-Noncommunity Water System,11/12/2014,HEALDSBURG,,#N/A,NR   ,Not Required
169,CA4901361,ANABA WINERY,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,5/4/2010,SONOMA,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
170,CA2901934,ANANDA RETREAT CENTER,NEVADA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,75,75,,7,,,,7,N1   ,Transient-Noncommunity Water System,9/15/2017,NEVADA CITY,,#N/A,NR   ,Not Required
171,CA2900562,ANANDA VILLAGE,NEVADA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,290,,,290,,86,,,,86,SC   ,Small Community,9/7/2017,NEVADA CITY,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
172,CA0706014,ANCHOR MARINA,CONTRA COSTA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,35,35,,40,,,,40,N1   ,Transient-Noncommunity Water System,5/22/2018,BETHEL ISLAND,,#N/A,,#N/A
173,CA4300610,ANCHORPOINT CHRISTIAN SCHOOL,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,85,,85,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,8/25/2016,GILROY,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
174,CA1206011,ANCIENT REDWOODS RESORT,HUMBOLDT,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,25,,,,25,N1   ,Transient-Noncommunity Water System,10/17/2017,REDCREST,,#N/A,NR   ,Not Required
175,CA4500098,ANDERSON MOBILE HOME PARK,SHASTA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,45,,,45,,21,,,,21,SC   ,Small Community,6/9/2015,ANDERSON,,#N/A,D1   ,Distribution Operator Level 1
176,CA4500302,ANDERSON MOOSE LODGE # 509,SHASTA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,75,75,,1,,,,1,N1   ,Transient-Noncommunity Water System,8/23/2013,ANDERSON,,#N/A,NR   ,Not Required
177,CA4500254,ANDERSON PARK VILLAGE,SHASTA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,110,,,110,,41,,,,41,SC   ,Small Community,2/9/2018,ANDERSON,,#N/A,D1   ,Distribution Operator Level 1
178,CA1700502,ANDERSON SPRINGS CSD,LAKE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,85,,200,285,,,,,35,35,SC   ,Small Community,11/20/2017,MIDDLETOWN,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
179,CA4500217,ANDERSON TUCKER OAKS GOLF,SHASTA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,5,,,,5,N1   ,Transient-Noncommunity Water System,6/16/2014,REDDING,,#N/A,NR   ,Not Required
180,CA4500041,ANDERSON UNION HIGH SCHOOL,SHASTA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,700,,700,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,1/21/2014,ANDERSON,,#N/A,D1   ,Distribution Operator Level 1
181,CA2300901,ANDERSON VALLEY BREWING COMPANY,MENDOCINO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,55,120,175,,,4,,,4,SP   ,NonTransient-NonCommunity Water System,8/12/2016,,,#N/A,D1   ,Distribution Operator Level 1
182,CA2300770,ANDERSON VALLEY ELEMENTARY SCHOOL,MENDOCINO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,350,,350,,11,,,,11,SP   ,NonTransient-NonCommunity Water System,4/7/2016,BOONVILLE,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
183,CA2300764,ANDERSON VALLEY HIGH SCHOOL,MENDOCINO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,300,,300,,8,,,,8,SP   ,NonTransient-NonCommunity Water System,4/7/2016,BOONVILLE,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
